vtd_2012,sha
20083000030,ec4fdd8a15c8dabb3b4bf361b5a6af9b369fe83e377b286758950d0df4e1f70f
20083000110,e5b72f2c4f6ad2121478295e658a4e480bea2c2e76038ed2b6d4c043814e3604
20057000310,f43090d8d9207cd1cc6b3bcda528d5d0d99bbb52ccd25e3e7b5ee7124f6a97bc
20057000300,0330de851a542a85fd5d64a1ec235071168952992592b566bf583d74e509fc60
20057000320,4b2649d0e9061cdc0d1fc5128bd4a882951011a2086a7b6f42a358fdb121091b
20083000100,35b3861c7d6621cf132cc5d9aacf8b2597e85c32bd1e80f196ea7db47c65e811
20083000020,f7204207b637b21b0dd1834499b01f6b0ce846c6cec3dd74d923a87a7f6d620c
20135000060,34998ddff912c4f2f12f0fdebdcfed2fe64b5df4ed6d17671d672d5de23e23eb
20135000040,0190aa6bec341f5eb4a6b3859ad6a7b29b5a1525b1361480a655c8d870b1b286
20135000030,034ef9f90504b8c6d70b2b4e3209b450ca2d6a705eeb74e1f6d0ce74dc49c4be
20195000030,2c00624e71a1df9042f40169358ee7004a72e07f805c7061f0be065d4bd5d5c8
20135000070,b5d005b9f14dc54172457882d6c501329978edf6a5e85e7ee9dfc599ed81ee2c
20135000100,2c8ac9487b377693e2256475990da8b43881c7f49feea5b3b94975abd04d92f7
20135000080,b926c474764d6764d851ffbcca569f3ea9af8b4d5fa154b1967fd0fa7a0e1da5
20135000050,10117d1b3750858942d472cd3399f0cc3bda9e302a29239f2b5c69ed94fa7d98
20135000010,2ef92ad9774ef25fd78e1baaa53bbe86ef754472ac12182a59453bf4de5ea640
20195000110,16912ba0c19e03a3ad17e6c6a75965b81c08685760b40e7f4c27da3ffc6d4976
20135000110,e828287583805c274ff1bc086eea7d644778cf38deb510705766389ac06a73fe
20195000060,9d3fe3141001eea82f1aabdd679a9c0114af95cffff0bae3679133df70697732
20063000030,812d49d51fc60f98a32123cc1da964086077a0ab394dfbc0150febf986186cff
20179000100,a1c68ad3fb00a7d80b631986219b8cbae98ffed55b5463fef588e0f3eebe30ca
20063000040,7615755ee6701e3caad6bc14b174947af07708f340f37fc4ef69f9ca2348c4d2
20179000110,7c3c4139d51b49ac7859ac23ffd4843127edb242a07d45319958f65a312929ca
20063000090,760a03ec3e4642b409f21bd9c8bebdde756b6898413c039588df7309af23f9b2
20063000010,2f8ff206976cc4651bcd339d9dad0d906aa39aa4e998e032a3e03fdb7eb6ae96
20179000150,af6b58def2319c8e302f360221659829a3e7d3b6865adbd3d39facb3dcff12c5
20055000160,99fbb4eba8760760d1458a5384cee8e23a5152d24a13d76507a8f7f406b081de
20055000140,62426c5cbb53c84a7f5ef9b29f5824d4b5fcc6c1ccb5b4720089108a81bffdbb
