OID,AIMSFID,WARD,DISTRICT,NAME,SHAPE_STArea__,SHAPE_STLength__
-1,201727221001211.000000000000000,D3,D310.01,Olathe 3-10,8586304.201232910200000,11880.058522513786000
-1,201727221001212.000000000000000,D3,D311.01,Olathe 3-11,1841838.714538574200000,7955.414130119774200
-1,201727221001213.000000000000000,D3,D311.02,Olathe 3-11,9229995.971069335900000,13100.740130840377000
-1,201727221001214.000000000000000,D3,D312.01,Olathe 3-12,471603.975311279300000,2926.325054721770800
-1,201727221001215.000000000000000,D3,D313.01,Olathe 3-13,3438539.853302002000000,7905.833057549736600
-1,201727221001216.000000000000000,D3,D313.02,Olathe 3-13,7099242.382965087900000,10655.766917919931000
-1,201727221001217.000000000000000,D3,D314.01,Olathe 3-14,249141.031707763670000,2043.981784416308100
-1,201727221001218.000000000000000,D3,D315.01,Olathe 3-15,8677839.686737060500000,12848.448011160914000
-1,201727221001219.000000000000000,D3,D316.01,Olathe 3-16,8863732.907684326200000,12669.313836158824000
-1,201727221001220.000000000000000,D3,D316.02,Olathe 3-16,1097668.862701416000000,4113.585156800199900
-1,201727221001221.000000000000000,D3,D317.01,Olathe 3-17,10856005.177825928000000,15747.860357180047000
-1,201727221001222.000000000000000,D3,D317.02,Olathe 3-17,787664.341583251950000,3749.522929879241900
-1,201727221001223.000000000000000,D3,D318.01,Olathe 3-18,2945446.189025878900000,7016.667386616555600
-1,201727221001224.000000000000000,D3,D319.01,Olathe 3-19,10778637.123596191000000,16002.548330421085000
-1,201727221001225.000000000000000,D3,D320.01,Olathe 3-20,6995767.792755127000000,10571.973636910701000
-1,201727221001226.000000000000000,D3,D321.01,Olathe 3-21,34617648.393920898000000,33249.484760703199000
-1,201727221001227.000000000000000,D3,D322.01,Olathe 3-22,6789868.628662109400000,10752.534971948240000
-1,201727221001228.000000000000000,D3,D323.01,Olathe 3-23,7228790.456878662100000,11050.595886794197000
-1,201727221001229.000000000000000,D3,D324.01,Olathe 3-24,226725.550445556640000,1923.069489079581200
