name,aimsfid
Olathe 4-05,202027015212668
Gardner Twp 0-02,202027015212669
Overland Park 3-07,202027015212670
Mission 4-02,202027015212671
Olathe 3-02,202027015212672
Shawnee 1-01,202027015212673
Overland Park 4-09,202027015212674
Overland Park 3-17,202027015212675
Merriam 2-01,202027015212676
Overland Park 2-19,202027015212677
Overland Park 1-19,202027015212678
Gardner 0-12,202027015212679
Olathe Twp 0-02,202027015212680
Overland Park 4-04,202027015212681
McCamish Twp 0-02,202027015212682
Olathe 2-01,202027015212683
Overland Park 1-16,202027015212684
Olathe Twp 0-24,202027015212685
Overland Park 4-19,202027015212686
Spring Hill 0-01,202027015212687
Olathe 1-06,202027015212688
Overland Park 6-06,202027015212689
Olathe 1-01,202027015212690
De Soto 0-06,202027015212691
Merriam 1-02,202027015212692
Mission 1-02,202027015212693
Olathe 2-02,202027015212694
Lenexa 3-03,202027015212695
Shawnee 3-05,202027015212696
Lexington Twp 0-05,202027015212697
Overland Park 4-15,202027015212698
Overland Park 4-02,202027015212699
Gardner Twp 0-16,202027015212700
Prairie Village 2-01,202027015212701
Olathe 3-11,202027015212702
McCamish Twp 0-04,202027015212703
Prairie Village 3-02,202027015212704
Olathe 4-01,202027015212705
Lenexa 3-08,202027015212706
Lenexa 2-01,202027015212707
Lenexa 1-07,202027015212708
Olathe Twp 0-12,202027015212709
Overland Park 2-25,202027015212710
Olathe Twp 0-01,202027015212711
Spring Hill 0-01,202027015212712
Aubry Twp 0-03,202027015212713
Gardner 0-14,202027015212714
Lenexa 4-05,202027015212715
Lenexa 2-04,202027015212716
Fairway 4-01,202027015212717
Overland Park 3-01,202027015212718
Aubry Twp 0-03,202027015212719
Leawood 3-01,202027015212720
Edgerton 0-02,202027015212721
Lenexa 1-01,202027015212722
Olathe 1-05,202027015212723
Olathe 4-02,202027015212724
Leawood 1-01,202027015212725
Olathe Twp 0-01,202027015212726
Overland Park 5-10,202027015212727
Lexington Twp 0-02,202027015212728
Olathe 4-10,202027015212729
Olathe 4-18,202027015212730
Spring Hill Twp 0-01,202027015212731
Olathe Twp 0-32,202027015212732
Lexington Twp 0-01,202027015212733
Olathe 1-22,202027015212734
Lenexa 4-02,202027015212735
Olathe 3-08,202027015212736
Olathe 1-03,202027015212737
Merriam 2-02,202027015212738
Aubry Twp 0-03,202027015212739
Olathe Twp 0-08,202027015212740
Olathe 1-19,202027015212741
Olathe Twp 0-14,202027015212742
Mission 4-03,202027015212743
