precinct,geosha
415,bdcf23cbe45c84885aff70a33d6a85882ea65c26d1e8a55153a0affc6f36fd5d
416,00fe9c49722af16c058839859a38d40f817722765dc14095bd0251a8e36412ea
417,aa1559c5c92ef97b3a243d40676bf32d4790dcc65fade20010b09caa410bc73f
418,3aebb614d456a665d79548b6db295df5d0dccd7f17cb16e86ffb1e538631768f
419,2210aa560f78ee837a15eed471dd3ecd70bd989c77fa261afaf012d60c8986cc
420,713b02cbbef1c5c47a5fcd2b05b18fd5574a0798cf821b5ce3bfdb9abd6c010c
421,9efafe9238688f515501442d255fe928b08626f4a667a58940caa7d37d11bd9c
422,9d09b488a50a1c8112f4694eb881593496d39de8f05dfbc7cbc1b7538436317a
423,a95b8f3827f268462230b7c3780eeab1502518ae4d1b9df70e62e386ebbbc8a9
424,ba7d4a13c523f47950c868d7c2ad72a7019a32ada60e22bae783782c2c760365
425,18fc87548903164e2e264c73608870e611217814b1ff279d888b21ae5bd73d75
427,efa0aa6c96f0f39269bd0590f7bdea4e6104f0abcb349b0866836573e5907db6
428,9efafe9238688f515501442d255fe928b08626f4a667a58940caa7d37d11bd9c
429,32e14e8c644177de22a77fa95d8da384d838d15ec975d7022802cfedb1180621
430,08d0f41d0ffd4a100cc19b7dc09ee19660adae69cb48635499ee922f439970ac
431,6d04035eb156e4b5fb89be4d794099d14fd97b51db41c47befe4e7ada8c95dd2
432,adc9bd6ae9105d60ff1d3bc800546c8123fbbad7b840978997c87f357919e467
433,bee47861802f74cbb6df5e6e4093b507806e317f704db361a881d47316fa9bac
434,417ec9dd29664bed7cba802c327ce656fb6867eea97cb6b3ec3f6cfeddda08bd
435,ef0c2d60a04297f437f9f469f62aa7e2faf80e32057fbeb8f3d06e9d1299cd46
436,e67598583d4d3d9428b5dff35c4505ac9f7615241e137e170469b446f695abe2
437,e76b734441d5c3c5379843b8ba8486fbda1b274e701c00a321ca3cdff0861219
438,417ec9dd29664bed7cba802c327ce656fb6867eea97cb6b3ec3f6cfeddda08bd
439,f8a3551c0c68a99ed0deaaa4e9bdb131dcc7590a08341d438cff437e3debe019
440,e90256731705b98bba3314971d8d4fe64efe9bda91280b4c263642ca16d99b10
441,73190167387f3e7c2cd935ea268b959fc8bcb5b57e31ff8ad80266f4f976ea15
503,d65ffaa4d2d327e15ec21b8a4f649d952d94ea602261d20aee3efa3863b68f17
504,e81903f4af395f4272805de2ee3dce65b3888d6f143d322f7fdb2c48f93d34e2
506,15a50ce3c2815685415513eac6af160249b4296dc9c41ac108bc0cd5cb8d2f35
507,caa01a60758f6d37bfc2e18a602eb6d26a290a09e70c7ddfaf16fae66fec8e52
508,de636c0055646b0450907bfd4cc66955cd3e5e3706757d3c52b810f0a922bbfd
509,3aefd49512edecc5dc7e8539f5f9c68be7bad3d539a41a02489ed2af20b49605
510,ccf3090a215a923c08fde22f5e15ae7db59ff0c3a5ce710d4c8279bc8d22aa9c
512,2b5f92d853bc3de099dd51513b377367bf78b569b05a304b953705fd2d1d36d5
513,a3cded539f0545c581bab0c104c5ccc1edfed01f1a60e9d983fe2c659e7dec6d
514,43f73c5ba56f3f72e18b8cabe9f085a10432d6c2264f7a63e66c37897b053d4f
515,fcb308d0dc124311be555a44331eeb9453e212471730adb64fae30483986ca68
516,521ff2852da8a5a8464866367966fcec4adb52c4707a5449b3a9972946893f36
517,716737252e9778eadf9c04faede3d2ce9f571bbc3a50d8ecf9c4963f61460657
518,5e371aa029e5696b0093e7faee57c7bfdca3fc7c2ddc569ea97d59c83c80ca69
519,406928f2136e5c0885abc279c9c70adec70936db354062d0d568536df8ec10a6
522,63acfe683055350fff2aaa3797dda08eef6605b5f17f2579d163b86631fbade3
523,7066447112e48beab62a7efbe78bf5ee543481683d350572788be7b7f0272423
524,5c8c0156efb0108a80c6af425c6029c6def4c749b7a17f82175ba0acc1e42aab
525,d9558ce30a96345924d97cc74b6166e1172b3214292cbcac0637777183b1de8e
526,c9f0f09568de661be7b7cd52161a87657801adb9e18379f19ac9901f6101bd08
527,4ef80a8df6db913dbc1bcd608da7064c278216c996fb56d5435d9c2f9c581040
528,e3ca1926c21c083636bf73c6ff942eb71bcc8d7450e1130d29a987dfd1365b55
530,8e42855e4732ce4bba0af415430e6019b737fb32d3d0688ca9158394da3ca389
531,3446c51c5540139646d461d9fba708c327bc7fe67d34b9e048845e3951648e59
534,24b166440033165f2692b7952afe4f69f276069322a62cd0ebff69e8f88bbd37
538,cd704a1dc9733da2e3a099424d8aa759de65e33e54b25177459efdf7ec5bf8a6
539,dd803e092ac63e4ffb15285477fdec033b0b6e2210f24f3e43a10fc7d11246a0
541,35e9cb4b27eeaa97f1801c2969a7bda26790639f6e9cec4f40941c4f561629b8
544,a87e7997c1a4dac528c2a8b26bc8c706c77924a9a00eade7373edb19d691ee8f
601,f20ca8a9c9680aa9132a1bd9b42509d5dc0100756340c3646b81874560d884ab
602,71c53147ea2be1212e6e43990c722ba369578e9cdc2ee48fa175f014c6273680
603,ed15e5a8c0ff6c0fabc3f0d8102c9df8d3635cc889eaaa04b5774892ac6efe47
604,581b8fa4bb49b18d05f6d0829eea6ffad913482ddb244385ea7f8b7465dc07c2
605,5f4b401864c40ccf59dc480c012a5acaeadc310817dab70bd7869e42bf3ac862
606,2a9edcc05752a61529bc97f85af133ffcb35d5519e3f7dff5dc5666642302667
607,61ec05a689b680f91093e0836b640e4177ba7a8758c015be2cf6130e0012cf26
608,385140d72d888bdd36e13fbcd324cbe1168c8d78370704413eb6d6d91db13f72
609,98165fbbd3ab3c0a063d1b61bc7761fc11a59b43c1d9503a1e382be9a348f149
610,d54934c578deb18a1b9a1c4431797caa2fe0c83f79eb8adf12002ae905e61ce0
611,d74910f2cc038dbbf7ccdd16cd5f6a722351624ebc57be9c038957157ced38d5
612,6548563a37afd2873b86cb81e5faf1574a9eef075c7dc50a1fef70a34fa89e86
613,1e2c9dd17e08fc895464242ff0e232be96c4ce0b68c22236bcf052b3bce15899
614,a833f22c4c4e48ec684dda4210bb4a4d2bc236f5baee16e5a9727349acf9f76f
615,f1f3e52fc42bc2e8c6485297692a2d5d96f4a2ece65a1bc9c0eedb87281f7d4f
616,234cc966ccf98966a35fb45f4cccf0a42c5704e6366045c2a1048bcf091622cb
617,6821b50681bd77e3c5f9eb13bc379a9d7ba231b2901ae628b5c0ff0aa4b085ca
618,c4327a3768f5a1bc46b90391034a1ad4893300da6fa53b84b486318434110a2c
619,1d32759d4c8100bb5e8f6dfa4183d922c45d5a52261c287de337ab5351fa46d5
621,9b889c6191acf4ae235dad3ad4d39c740d46f8458b6b730cff44d21f7042ae96
622,92468c8a6e41035f7d7bbd00c69d0df9c6568f60de99c5f5cbebab6704c0876b
623,8a34c4737e0d74050f483585ed01ca08b633c6e114f3c342e5b27ee21a6634a2
624,12d8523773a2e78251082e463e7672e0dff80d4c0a8a82b1645a33cacd29d598
626,3512951aa6f519ff7cfa410ae265783d3ba69ec3fffe97573c377febdd5c2f74
627,b08816b66dd6187059aa8547688aa52ef3f21f3fff24f8a0d27defe94cd70e08
629,5c1c596a3d3354fcdf5f056f1ec11aca207883fadbdfa3c1b14fed3b2875693c
630,aa79bc8db606e93b7fac369973f7c3b8b6bbfc00fc490f614763530414f91658
631,6635a95da03a3019d0025bced621a8614cc432b3272a1614f5ef897cef9edf24
AF,3f7b83e3131b652069d48c631f35e6b3b9221b6bcaca1997ba075c6e9d4d5e68
AT01,db1015592f2fc931fa81827b85f817b30113bd7ca1f66c3dbd3c1840bc610464
AT02,a6818eb452ff376a8630845de2c454027d5baa4b8f0071c3198b6daf83afe99e
AT03,20ff7f74b67407bc17ae2e4e782070eeec4253293feddb05ba51508d634b6ef0
AT04,849d2f4d18aaff15adf70a3dc89ca4d0a548efcf5537342a56dbb9701ca3e353
AT05,57d3ed8708ab6d78eba1a0071c3349354e8a6660fcf6c736f03d928c8e72dd58
AT06,6f77aae38c787e224d80d56559abe1be0ffe2d4552d7a1bcfdaab63ed3e19e19
AT08,14f11f1ae565515a1643ee08a8771a1b4a9db871552f3785e67246122776fb1e
AT10,3f4ba7d124cb4d0364f88552f28459fee4464c053e4b12cd2b68d17fceb94367
AT11,caaaeac9b6dadf4310c3df800df009d3859341f11d44045a5a132a496a0b78d0
AT12,7b6eb29e2753b5a09e5489224d9ea34ac8ea4f46c1eb0ae74a936716d10d4111
